Glimmerpoint Stag:W:75
Sin Collector:BW:53
Feral Animist:GR:44
Tithe Drinker:BW:60
Bronzebeak Moa:GW:66
Spike Jester:BR:63
Notion Thief:BU:42
Rakdos Cluestone:NA:36
Maze Sentinel:W:39
Varolz, the Scar-Striped:BG:81
Restore the Peace:UW:41
Riot Control:W:24
Mindstatic:U:30
Master of Cruelties:BR:84
Catch // Release:NOUSE:51
Lavinia of the Tenth:UW:85
Battering Krasis:G:45
Blast of Genius:RU:47
Rot Farm Skeleton:BG:52
Gleam of Battle:RW:35
Mutant's Prey:G:41
Armed // Dangerous:GR:56
Flesh // Blood:NOUSE:76
Steeple Roc:W:42
Renounce the Guilds:W:42
Maw of the Obzedat:BW:70
Opal Lake Gatekeepers:U:46
Boros Cluestone:NA:36
Riot Piker:R:48
Council of the Absolute:UW:62
Beetleform Mage:GU:61
Progenitor Mimic:GU:87
Obzedat's Aid:BW:45
Deadbridge Chant:BG:76
Weapon Surge:R:38
Scab-Clan Giant:GR:67
Pontiff of Blight:B:82
Murmuring Phantasm:U:44
Breaking // Entering:NOUSE:37
Uncovered Clues:U:24
Teysa, Envoy of Ghosts:BW:80
Wake the Reflections:W:23
Possibility Storm:R:10
Maze Glider:U:63
Species Gorger:GU:56
Ascended Lawmage:UW:63
Azorius Cluestone:NA:36
Zhur-Taa Ancient:GR:72
Thrashing Mossdog:G:55
Hidden Strings:U:27
Render Silent:UW:50
Golgari Cluestone:NA:36
Protect // Serve:UW:46
Ruric Thar, the Unbowed:GR:87
Mirko Vosk, Mind Drinker:BU:82
Woodlot Crawler:BU:55
Boros Mastiff:W:50
Clear a Path:R:23
Blood Scrivener:B:60
Ral Zarek:RU:91
Toil // Trouble:BR:52
Renegade Krasis:G:78
Trait Doctoring:U:10
Gruul Cluestone:NA:36
Advent of the Wurm:GW:90
Maze's End:NA:24
Debt to the Deathless:BW:27
Alive // Well:GW:57
Far // Away:BU:74
Sinister Possession:B:20
Bane Alley Blackguard:B:34
Vorel of the Hull Clade:GU:82
Ubul Sar Gatekeepers:B:62
Blaze Commando:RW:67
Hired Torturer:B:48
Morgue Burst:BR:44
Maze Abomination:B:42
Boros Battleshaper:RW:55
Krasis Incubation:GU:77
Awe for the Guilds:R:18
Phytoburst:G:37
Exava, Rakdos Blood Witch:BR:89
Crypt Incursion:B:22
Carnage Gladiator:BR:63
Kraul Warrior:G:50
Selesnya Cluestone:NA:36
Dragonshift:RU:72
Melek, Izzet Paragon:RU:43
Beck // Call:NOUSE:48
Korozda Gorgon:BG:72
Zhur-Taa Druid:GR:66
Legion's Initiative:RW:68
Smelt-Ward Gatekeepers:R:49
Sire of Insanity:BR:74
Plasm Capture:GU:42
Viashino Firstblade:RW:53
Profit // Loss:BW:61
Trostani's Summoner:GW:59
Putrefy:BG:86
Unflinching Courage:GW:72
Rubblebelt Maaka:R:59
Maze Rusher:R:44
Haazda Snare Squad:W:53
Orzhov Cluestone:NA:36
Turn // Burn:RU:75
Warleader's Helix:RW:81
Armored Wolf-Rider:GW:59
Skylasher:G:70
Deputy of Acquittals:UW:60
Rakdos Drake:B:53
Drown in Filth:BG:38
Haunter of Nightveil:BU:65
Saruli Gatekeepers:G:47
Down // Dirty:BG:41
Punish the Enemy:R:61
Maze Behemoth:G:44
Scion of Vitu-Ghazi:W:86
Nivix Cyclops:RU:53
Warped Physique:BU:73
Gaze of Granite:BG:80
Dimir Cluestone:NA:36
Give // Take:GU:59
Tajic, Blade of the Legion:RW:88
Pilfered Plans:BU:56
Pallid Mycoderm:W:44
Kira, Great Glass-Spinner:U:78
Riftwing Cloudskate:U:74
Vivid Meadow:NA:45
Thallid:G:56
Bridge from Below:B:10
Pact of Negation:U:43
Vivid Creek:NA:45
Skyreach Manta:NA:53
Warren Pilferers:B:64
Festering Goblin:B:47
Narcomoeba:U:20
Absorb Vis:B:56
Veteran Armorer:W:58
Tribal Flames:R:72
Skeletal Vampire:B:87
Tromp the Domains:G:81
Riftsweeper:G:46
Vedalken Shackles:NA:91
Fiery Fall:R:62
Gifts Ungiven:U:28
Traumatic Visions:U:48
Auriok Salvagers:W:38
Gleam of Resistance:W:49
Sylvan Bounty:G:46
Cenn's Enlistment:W:41
Marsh Flitter:B:70
Tidehollow Sculler:BW:59
Electrolyze:RU:73
Blind-Spot Giant:R:36
Etherium Sculptor:U:33
Knight of the Reliquary:GW:82
Spellstutter Sprite:U:46
Death Cloud:B:64
Latchkey Faerie:U:59
Phthisis:B:70
Extirpate:B:8
Meloku the Clouded Mirror:U:92
Hillcomber Giant:W:52
Doubling Season:G:29
Sudden Shock:R:68
Vivid Marsh:NA:45
Vendilion Clique:U:84
Drag Down:B:62
Sandsower:W:47
Echoing Courage:G:41
Echoing Truth:U:58
Petals of Insight:U:50
Bound in Silence:W:72
Pyromancer's Swath:R:15
Life from the Loam:G:33
Thundercloud Shaman:R:78
Vivid Crag:NA:45
Hammerheim Deadeye:R:59
Stingscourger:R:66
Vivid Grove:NA:45
Tarmogoyf:G:53
Progenitus:NOUSE:11
Woodfall Primus:G:47
Blinkmoth Nexus:NA:69
Path to Exile:W:83
Lava Spike:R:30
Faerie Macabre:B:55
Chalice of the Void:NA:14
Reach of Branches:G:72
Dark Confidant:B:57
Kataki, War's Wage:W:45
Ivory Giant:W:46
Masked Admirers:G:69
Kodama's Reach:G:61
Grinning Ignus:R:42
Blood Moon:R:13
Grand Arbiter Augustin IV:UW:82
Faerie Mechanist:U:52
Kithkin Greatheart:W:50
Plumeveil:UW:66
Academy Ruins:NA:10
Glimmervoid:NA:18
Horobi's Whisper:B:74
Eternal Witness:G:65
Street Wraith:B:43
Oona, Queen of the Fae:BU:90
AEthersnipe:U:65
Blinding Beam:W:70
Tooth and Nail:G:31
Giant Dustwasp:G:65
Frogmite:NA:37
Etched Oracle:NA:40
Myr Enforcer:NA:39
Molten Disaster:R:82
Feudkiller's Verdict:W:72
Cryptic Command:U:85
Pestermite:U:66
Sporesower Thallid:G:72
Bonesplitter:NA:75
Arcbound Stinger:NA:40
Moldervine Cloak:G:60
Runed Stalactite:NA:41
Crush Underfoot:R:40
Spell Snare:U:29
Paradise Mantle:NA:26
Flickerwisp:W:71
Stinkweed Imp:B:56
Thieving Sprite:B:49
Thundering Giant:R:59
Take Possession:U:66
Brute Force:R:55
Sword of Light and Shadow:NA:91
Dakmor Salvage:NA:14
Slaughter Pact:B:81
Kitchen Finks:GW:79
Terramorphic Expanse:NA:47
Otherworldly Journey:W:42
Squee, Goblin Nabob:R:39
Executioner's Capsule:B:76
Demigod of Revenge:BR:73
Pardic Dragon:R:77
Fury Charm:R:34
Figure of Destiny:RW:88
Tar Pitcher:R:68
Rift Elemental:R:38
Rift Bolt:R:68
Rude Awakening:G:30
Sword of Fire and Ice:NA:93
Grapeshot:R:58
Dreamspoiler Witches:B:63
Syphon Life:B:40
Hana Kami:G:36
Trygon Predator:GU:69
Death Rattle:B:74
Raven's Crime:B:37
War-Spike Changeling:R:56
Empty the Warrens:R:44
Peppersmoke:B:48
Durkwood Baloth:G:66
Stinkdrinker Daredevil:R:35
Nantuko Shaman:G:58
Sanctum Gargoyle:W:59
Thallid Shell-Dweller:G:52
Perilous Research:U:54
Warren Weirding:B:60
Avian Changeling:W:63
City of Brass:NA:44
Errant Ephemeron:U:80
Death Denied:B:53
Reveillark:W:86
Verdeloth the Ancient:G:68
Court Homunculus:W:34
Mad Auntie:B:65
Epochrasite:NA:73
Esperzoa:U:44
Facevaulter:B:36
Thallid Germinator:G:50
Citanul Woodreaders:G:59
Kokusho, the Evening Star:B:90
Sporoloth Ancient:G:60
Ethersworn Canonist:W:44
Cold-Eyed Selkie:GU:50
Reach Through Mists:U:31
Stir the Pride:W:62
Mothdust Changeling:U:41
Mind Funeral:BU:33
Arcbound Ravager:NA:55
Greater Mossdog:G:54
Pyrite Spellbomb:NA:63
Meadowboon:W:71
AEther Vial:NA:42
Stonehewer Giant:W:71
Penumbra Spider:G:68
Arcbound Worker:NA:40
Murderous Redcap:BR:80
Walker of the Grove:G:49
Myr Retriever:NA:36
Maelstrom Pulse:BG:82
Glen Elendra Archmage:U:79
Arcbound Wanderer:NA:33
AEther Spellbomb:NA:61
Thirst for Knowledge:U:70
Search for Tomorrow:G:63
Dispeller's Capsule:W:32
Lightning Helix:RW:80
Logic Knot:U:38
Earwig Squad:B:57
Careful Consideration:U:75
Worm Harvest:BG:30
Auntie's Snitch:B:43
Kiki-Jiki, Mirror Breaker:R:87
Mulldrifter:U:81
Saltfield Recluse:W:59
Dragonstorm:R:10
Dampen Thought:U:47
Tombstalker:B:80
Peer Through Depths:U:27
Incremental Growth:G:70
Keiga, the Tide Star:U:90
Adarkar Valkyrie:W:88
Countryside Crusher:R:83
Angel's Grace:W:25
Desperate Ritual:R:16
Mogg War Marshal:R:61
Jhoira of the Ghitu:RU:42
Engineered Explosives:NA:43
Vedalken Dismisser:U:63
Elspeth, Knight-Errant:W:93
Glacial Ray:R:80
Cloudgoat Ranger:W:83
Test of Faith:W:60
Terashi's Grasp:W:30
Relic of Progenitus:NA:33
Krosan Grip:G:34
Torrent of Stone:R:69
Ryusei, the Falling Star:R:89
Greater Gargadon:R:74
Imperiosaur:G:76
Lotus Bloom:NA:46
Summoner's Pact:G:25
Jugan, the Rising Star:G:86
Divinity of Pride:BW:72
Sarkhan Vol:GR:87
Blightspeaker:B:57
Manamorphose:GR:22
Deepcavern Imp:B:48
Rathi Trapper:B:67
Amrou Scout:W:56
Scion of Oona:U:57
Shrapnel Blast:R:52
Yosei, the Morning Star:W:91
Erratic Mutation:U:64
Amrou Seekers:W:60
Silence:W:19
Into the Wilds:G:27
Ring of Three Wishes:NA:20
Scourge of Valkas:R:82
Cyclops Tyrant:R:28
Staff of the Death Magus:NA:27
Soulmender:W:32
Striking Sliver:R:41
Galerider Sliver:U:44
Staff of the Wild Magus:NA:27
Blur Sliver:R:60
Haunted Plate Mail:NA:62
Dark Prophecy:B:59
Steelform Sliver:W:52
Manaweft Sliver:G:61
Young Pyromancer:R:57
Guardian of the Ages:NA:48
Molten Birth:R:44
Sporemound:G:51
Tenacious Dead:B:53
Thunder Strike:R:39
Goblin Shortcutter:R:53
Angelic Accord:W:38
Awaken the Ancient:R:68
Seacoast Drake:U:51
Xathrid Necromancer:B:72
Seraph of the Sword:W:81
Banisher Priest:W:82
Staff of the Flame Magus:NA:27
Groundshaker Sliver:G:38
Archangel of Thune:W:86
Windstorm:G:38
Scavenging Ooze:G:71
Corrupt:B:66
Armored Cancrix:U:41
Artificer's Hex:B:26
Staff of the Sun Magus:NA:27
Rise of the Dark Realms:B:11
Chandra, Pyromaster:R:89
Jace's Mindseeker:U:80
Battle Sliver:R:64
Vial of Poison:NA:40
Time Ebb:U:47
Sliver Construct:NA:34
Quicken:U:17
Spell Blast:U:24
Marauding Maulhorn:R:57
Phantom Warrior:U:61
Liturgy of Blood:B:74
Shadowborn Demon:B:91
Primeval Bounty:G:65
Dragon Egg:R:60
Bubbling Cauldron:NA:39
Ogre Battledriver:R:73
Traumatize:U:48
Woodborn Behemoth:G:50
Celestial Flare:W:58
Rod of Ruin:NA:49
Strionic Resonator:NA:11
Sanguine Bond:B:22
Zephyr Charge:U:36
Indestructibility:W:38
Goblin Diplomats:R:57
Darksteel Ingot:NA:50
Staff of the Mind Magus:NA:27
Gnawing Zombie:B:47
Minotaur Abomination:B:40
Colossal Whale:U:77
Pyromancer's Gauntlet:NA:12
Garruk, Caller of Beasts:G:88
Air Servant:U:84
Nightmare:B:75
Wall of Frost:U:59
Trained Condor:U:58
Rootwalla:G:60
Mindsparker:R:69
Burning Earth:R:5
Wall of Swords:W:59
Blood Bairn:B:46
Door of Destinies:NA:30
Kalonian Tusker:G:66
Illusionary Armor:U:45
Undead Minotaur:B:50
Nightwing Shade:B:55
Tome Scour:U:25
Shiv's Embrace:R:62
Master of Diversion:W:63
Vampire Warlord:B:57
Savage Summoning:G:33
Fortify:W:45
Seismic Stomp:R:30
Quag Sickness:B:73
Fireshrieker:NA:63
Howl of the Night Pack:G:56
Suntail Hawk:W:32
Dawnstrike Paladin:W:34
Shrivel:B:35
Lifebane Zombie:B:65
Devout Invocation:W:42
Solemn Offering:W:29
Mutavault:NA:67
Darksteel Forge:NA:1
Academy Raider:R:42
Tidebinder Mage:U:55
Millstone:NA:41
Advocate of the Beast:G:55
Liliana's Reaver:B:81
Fleshpulper Giant:R:40
Pay No Heed:W:27
Hunt the Weak:G:56
Elvish Mystic:G:67
Predatory Sliver:G:54
Shadowborn Apostle:B:17
Elite Arcanist:U:57
Vastwood Hydra:G:78
Ajani's Chosen:W:70
Opportunity:U:70
Syphon Sliver:B:34
Bogbrew Witch:B:43
Blightcaster:B:54
Merfolk Spy:U:26
Oath of the Ancient Wood:G:20
Rumbling Baloth:G:65
Kalonian Hydra:G:90
Lay of the Land:G:36
Charging Griffin:W:59
Encroaching Wastes:NA:15
Imposing Sovereign:W:66
Festering Newt:B:51
Glimpse the Future:U:35
Deathgaze Cockatrice:B:54
Grim Return:B:33
Stonehorn Chanter:W:47
Domestication:U:79
Fiendslayer Paladin:W:69
Wild Ricochet:R:29
Megantic Sliver:G:62
Lightning Talons:R:36
Dismiss into Dream:U:30
Enlarge:G:64
Path of Bravery:W:61
Corpse Hauler:B:50
Bonescythe Sliver:W:62
Congregate:W:37
Regathan Firecat:R:34
Witchstalker:G:63
Messenger Drake:U:62
Water Servant:U:58
Windreader Sphinx:U:76
Accursed Spirit:B:60
Sentinel Sliver:W:56
Voracious Wurm:G:56
Warden of Evos Isle:U:62
Brave the Elements:W:38
Hive Stirrings:W:41
Blessing:W:31
Thorncaster Sliver:R:53
Capashen Knight:W:41
Barrage of Expendables:R:33
Shivan Dragon:R:86
